crash_id,person_age,person_ethnicity,person_gender,has_motocycle_endorsment,person_injury_severity,vehicle_body_style,vehicle_color,vehicle_make,vehicle_model,vehicle_model_year
16366308,25,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,ong - orange,harley-davidson,fxdb,2008
16367048,20,98 - other,1 - male,1,n - not injured,mc - motorcycle,gry - gray,yamaha,yzfr6,2016
16367093,37,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,red - red,kymco usa inc,people,2009
16367277,23,b - black,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,yamaha,yzfr1,2011
16425160,42,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,suzuki,sv650,2013
16420239,22,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,mul - multicolored,suzuki,gsx600,2006
16423354,36,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,whi - white,honda,cbr600,2015
16411753,66,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,flhtcse,2011
16491081,24,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,fld,2017
16413170,20,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,red - red,kawasaki,ex250,2003
16410523,31,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fxef,2018
16410065,58,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blu - blue,harley-davidson,fld,2011
16419218,39,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,fxstb,2008
16409610,44,h - hispanic,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,fxd,201
